scope,category,lookup name,CO2 Factor (kg / unit),CH4 Factor (kg / unit),N2O Factor (kg / unit),Biofuel?,AR4 (kgCO2e),AR5 (kgCO2e),Units,Source
1,mobile-combustion,Ethanol (100%) - Ethanol Light-duty Vehicles,,0.000891,0.0010854,5.75,0.3457242,0.312579,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Ethanol (100%) - Ethanol Medium- and Heavy-duty Vehicles,,0.0017336,0.00154,5.75,0.50226,0.4566408,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Motor Gasoline - Hybrid (Gasoline) Passenger Cars,8.78,0.000539061,0.000112175,,8.826904547,8.82481997,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Motor Gasoline - Gasoline Agricultural Equipment,8.78,0.00126,0.00022,,8.87706,8.87358,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Diesel Fuel - Diesel Agricultural Equipment,10.21,0.00144,0.00026,,10.32348,10.31922,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Motor Gasoline - Gasoline Ships and Boats,8.78,0.00064,0.00022,,8.86156,8.85622,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Diesel Fuel - Diesel Ships and Boats,10.21,0.00006,0.00045,,10.3456,10.33093,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Jet Fuel - Jet Fuel Aircraft,9.75,0,0.0003,,9.8394,9.8295,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Aviation Gasoline - Aviation Gasoline Aircraft,8.31,0.00706,0.00011,,8.51928,8.53683,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Motor Gasoline - Gasoline Motorcycles,8.78,0.00336,0.000345,,8.96681,8.965505,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Motor Gasoline - Other Gasoline Non-Road Vehicles,8.78,0.0005,0.00022,,8.85806,8.8523,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Diesel Fuel - Other Diesel Non-Road Vehicles,10.21,0.00057,0.00026,,10.30173,10.29486,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
1,mobile-combustion,Biodiesel (100%) - Biodiesel Medium- and Heavy-duty Vehicles,0,0.0000295,0.0000295,9.45,0.0095285,0.0086435,gal (US),"EPA, ""Emission Factors for Greenhouse Gas Inventories"", March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub); WRI, GHG Protocol - Emission Factors from Cross-Sector Tools, April 2014"
3,transport,Passenger Car A,0.343,0.019,0.011,,0.346753,0.346447,vehicle-mile,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 8 Business Travel and Employee Commuting, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
3,transport,Light-Duty Truck B,0.472,0.019,0.018,,0.477839,0.477302,vehicle-mile,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 8 Business Travel and Employee Commuting, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
3,transport,Motorcycle,0.189,0.07,0.007,,0.192836,0.192815,vehicle-mile,"EPA, ""Emission Factors for Greenhouse Gas Inventories,"" Table 8 Business Travel and Employee Commuting, March 9, 2018 (https://www.epa.gov/climateleadership/center-corporate-climate-leadership-ghg-emission-factors-hub)."
